Company Name,Stock Code
レーザーテック,6920.T
スタンレー電気,6923.T
岩崎電気,6924.T
ウシオ電機,6925.T
エノモト,6928.T
日本セラミック,6929.T
遠藤照明,6932.T
古河電池,6937.T
山一電機,6941.T
図研,6947.T
日本電子,6951.T
カシオ計算機,6952.T
ファナック,6954.T
日本シイエムケイ,6958.T
エンプラス,6961.T
大真空,6962.T
ローム,6963.T
浜松ホトニクス,6965.T
三井ハイテック,6966.T
新光電気工業,6967.T
京セラ,6971.T
太陽誘電,6976.T
村田製作所,6981.T
双葉電子工業,6986.T
日東電工,6988.T
北陸電気工業,6989.T
東海理化電機製作所,6995.T
ニチコン,6996.T
日本ケミコン,6997.T
KOA,6999.T
三井E&S,7003.T
日立造船,7004.T
三菱重工業,7011.T
川崎重工業,7012.T
IHI,7013.T
スプリックス,7030.T
マネジメントソリューションズ,7033.T
プロレド・パートナーズ,7034.T
and factory,7035.T
テノ. HD,7037.T
フロンティア・マネジメント,7038.T
ピアラ,7044.T
コプロHD,7059.T
ギークス,7060.T
アンビス HD,7071.T
カーブス HD,7085.T
フォーラムエンジニアリング,7088.T
Fast Fitness Japan,7092.T
日本車輌製造,7102.T
フルサト・マルカ HD,7128.T
ヤマエグループ HD,7130.T
ジャパンクラフト HD,7135.T
FPG,7148.T
全国保証,7164.T
めぶき FG,7167.T
ジャパンインベストメントアドバイザー,7172.T
東京きらぼし FG,7173.T
九州 FG,7180.T
かんぽ生命保険,7181.T
ゆうちょ銀行,7182.T
富山第一銀行,7184.T
コンコルディア・ FG,7186.T
ジェイリース,7187.T
西日本フィナンシャル HD,7189.T
イントラスト,7191.T
Casa,7196.T
アルヒ,7198.T
プレミアグループ,7199.T
日産自動車,7201.T
いすゞ自動車,7202.T
トヨタ自動車,7203.T
日野自動車,7205.T
三菱自動車工業,7211.T
エフテック,7212.T
レシップ HD,7213.T
武蔵精密工業,7220.T
日産車体,7222.T
新明和工業,7224.T
極東開発工業,7226.T
トピー工業,7231.T
ティラド,7236.T
曙ブレーキ工業,7238.T
タチエス,7239.T
NOK,7240.T
フタバ産業,7241.T
カヤバ,7242.T
市光工業,7244.T
大同メタル工業,7245.T
プレス工業,7246.T
ミクニ,7247.T
太平洋工業,7250.T
河西工業,7256.T
アイシン,7259.T
マツダ,7261.T
今仙電機製作所,7266.T
本田技研工業,7267.T
スズキ,7269.T
SUBARU,7270.T
安永,7271.T
ヤマハ発動機,7272.T
小糸製作所,7276.T
TBK,7277.T
エクセディ,7278.T
ミツバ,7280.T
豊田合成,7282.T
愛三工業,7283.T
ヨロズ,7294.T
エフ・シー・シー,7296.T
シマノ,7309.T
テイ・エステック,7313.T
三十三 FG,7322.T
第四北越 FG,7327.T
ひろぎん HD,7337.T
マーキュリア HD,7347.T
おきなわ FG,7350.T
ダイレクトマーケティングミックス,7354.T
ポピンズ,7358.T
LITALICO,7366.T
十六 FG,7380.T
北國フィナンシャル HD,7381.T
ネットプロテクションズ HD,7383.T
プロクレア HD,7384.T
FPパートナー,7388.T
あいち FG,7389.T
ジャムコ,7408.T
小野建,7414.T
ノジマ,7419.T
佐鳥電機,7420.T
カッパ・クリエイト,7421.T
伯東,7433.T
コンドーテック,7438.T
ライトオン,7445.T
ナガイレーベン,7447.T
良品計画,7453.T
パリミキ HD,7455.T
松田産業,7456.T
第一興商,7458.T
メディパル HD,7459.T
SPK,7466.T
萩原電気 HD,7467.T
アルビス,7475.T
アズワン,7476.T
シモジマ,7482.T
ドウシシャ,7483.T
小津産業,7487.T
コナカ,7494.T
高速,7504.T
G-7 HD,7508.T
たけびし,7510.T
コジマ,7513.T
ヒマラヤ,7514.T
コーナン商事,7516.T
ネットワンシステムズ,7518.T
エコス,7520.T
ワタミ,7522.T
リックス,7525.T
システムソフト,7527.T
パン・パシフィック・インターナショナル HD,7532.T
丸文,7537.T
西松屋チェーン,7545.T
ゼンショー HD,7550.T
ハピネット,7552.T
幸楽苑 HD,7554.T
ハークスレイ,7561.T
橋本総業 HD,7570.T
日本ライフライン,7575.T
サイゼリヤ,7581.T
タカショー,7590.T
VT HD,7593.T
アルゴグラフィックス,7595.T
魚力,7596.T
IDOM,7599.T
日本エム・ディ・エム,7600.T
フジ・コーポレーション,7605.T
ユナイテッドアローズ,7606.T
進和,7607.T
ダイトロン,7609.T
ハイデイ日高,7611.T
シークス,7613.T
コロワイド,7616.T
ピーシーデポコーポレーション,7618.T
オーハシテクニカ,7628.T
壱番屋,7630.T
白銅,7637.T
スギ HD,7649.T
薬王堂 HD,7679.T
島津製作所,7701.T
ジェイ・エム・エス(称号JMS),7702.T
長野計器,7715.T
ブイ・テクノロジー,7717.T
スター精密,7718.T
東京計器,7721.T
愛知時計電機,7723.T
インターアクション,7725.T
オーバル,7727.T
東京精密,7729.T
マニー,7730.T
ニコン,7731.T
トプコン,7732.T
オリンパス,7733.T
理研計器,7734.T
SCREEN HD,7735.T
キヤノン電子,7739.T
タムロン,7740.T
HOYA,7741.T
シード,7743.T
ノーリツ鋼機,7744.T
A&Dホロン HD,7745.T
朝日インテック,7747.T
キヤノン,7751.T
リコー,7752.T
シチズン時計,7762.T
リズム,7769.T
大研医器,7775.T
メニコン,7780.T
中本パックス,7811.T
スノーピーク,7816.T
パラマウントベッド HD,7817.T
トランザクション,7818.T
粧美堂,7819.T
ニホンフラッシュ,7820.T
前田工繊,7821.T
アートネイチャー,7823.T
バンダイナムコ HD,7832.T
SHOEI,7839.T
フランスベッド HD,7840.T
マーベラス,7844.T
パイロットコーポレーション,7846.T
萩原工業,7856.T
エイベックス,7860.T
フジシールインターナショナル,7864.T
タカラトミー,7867.T
広済堂 HD,7868.T
レック,7874.T
三光合成,7888.T
プロネクサス,7893.T
大建工業,7905.T
TOPPAN HD,7911.T
大日本印刷,7912.T
共同印刷,7914.T
NISSHA,7915.T
藤森工業,7917.T
ヴィアHD,7918.T
TAKARA&COMPANY,7921.T
前澤化成工業,7925.T
未来工業,7931.T
アシックス,7936.T
ジェイエスピー,7942.T
ニチハ,7943.T
ローランド,7944.T
エフピコ,7947.T
小松ウオール工業,7949.T
ヤマハ,7951.T
河合楽器製作所,7952.T
クリナップ,7955.T
ピジョン,7956.T
天馬,7958.T
キングジム,7962.T
象印マホービン,7965.T
リンテック,7966.T
信越ポリマー,7970.T
東リ,7971.T
イトーキ,7972.T
任天堂,7974.T
三菱鉛筆,7976.T
松風,7979.T
タカラスタンダード,7981.T
コクヨ,7984.T
ナカバヤシ,7987.T
ニフコ,7988.T
立川ブラインド工業,7989.T
グローブライド,7990.T
オカムラ,7994.T
バルカー,7995.T
伊藤忠商事,8001.T
丸紅,8002.T
スクロール,8005.T
高島,8007.T
ヨンドシー HD,8008.T
三陽商会,8011.T
長瀬産業,8012.T
蝶理,8014.T
豊田通商,8015.T
オンワード HD,8016.T
兼松,8020.T
美津濃,8022.T
三井物産,8031.T
日本紙パルプ商事,8032.T
東京エレクトロン,8035.T
カメイ,8037.T
スターゼン,8043.T
セイコーグループ,8050.T
山善,8051.T
椿本興業,8052.T
住友商事,8053.T
BIPROGY,8056.T
内田洋行,8057.T
三菱商事,8058.T
第一実業,8059.T
キヤノンマーケティングジャパン,8060.T
西華産業,8061.T
佐藤商事,8065.T
菱洋エレクトロ,8068.T
東京産業,8070.T
ユアサ商事,8074.T
神鋼商事,8075.T
トルク,8077.T
阪和興業,8078.T
正栄食品工業,8079.T
カナデン,8081.T
RYODEN,8084.T
ニプロ,8086.T
岩谷産業,8088.T
ニチモウ,8091.T
極東貿易,8093.T
アステナ HD,8095.T
兼松エレクトロニクス,8096.T
三愛オブリ,8097.T
稲畑産業,8098.T
GSIクレオス,8101.T
明和産業,8103.T
ゴールドウイン,8111.T
ユニ・チャーム,8113.T
デサント,8114.T
ワキタ,8125.T
東邦 HD,8129.T
サンゲツ,8130.T
シナネン HD,8132.T
伊藤忠エネクス,8133.T
サンリオ,8136.T
サンワテクノス,8137.T
リョーサン,8140.T
新光商事,8141.T
トーホー,8142.T
三信電気,8150.T
東陽テクニカ,8151.T
モスフードサービス,8153.T
加賀電子,8154.T
三益半導体工業,8155.T
都築電気,8157.T
ソーダニッカ,8158.T
立花エレテック,8159.T
木曽路,8160.T
SRS HD,8163.T
千趣会,8165.T
リテールパートナーズ,8167.T
ケーヨー,8168.T
上新電機,8173.T
日本瓦斯,8174.T
ロイヤル HD,8179.T
いなげや,8182.T
チヨダ,8185.T
ライフコーポレーション,8194.T
リンガーハット,8200.T
ミスターマックスHD,8203.T
AOKI HD,8214.T
オークワ,8217.T
コメリ,8218.T
青山商事,8219.T
しまむら,8227.T
髙島屋,8233.T
松屋,8237.T
エイチ・ツー・オーリテイリング,8242.T
丸井グループ,8252.T
クレディセゾン,8253.T
アクシアルリテイリング,8255.T
イオン,8267.T
イズミ,8273.T
フォーバル,8275.T
平和堂,8276.T
フジ,8278.T
ヤオコー,8279.T
ゼビオ HD,8281.T
ケーズ HD,8282.T
PALTAC,8283.T
三谷産業,8285.T
日産東京販売 HD,8291.T
あおぞら銀行,8304.T
三菱UFJ FG,8306.T
りそな HD,8308.T
三井住友トラストHD,8309.T
三井住友 FG,8316.T
千葉銀行,8331.T
群馬銀行,8334.T
武蔵野銀行,8336.T
千葉興業銀行,8337.T
筑波銀行,8338.T
七十七銀行,8341.T
秋田銀行,8343.T
山形銀行,8344.T
岩手銀行,8345.T
東邦銀行,8346.T
ふくおか FG,8354.T
静岡銀行,8355.T
スルガ銀行,8358.T
八十二銀行,8359.T
山梨中央銀行,8360.T
大垣共立銀行,8361.T
福井銀行,8362.T
清水銀行,8364.T
滋賀銀行,8366.T
南都銀行,8367.T
百五銀行,8368.T
京都銀行,8369.T
紀陽銀行,8370.T
ほくほく FG,8377.T
山陰合同銀行,8381.T
中国銀行,8382.T
伊予銀行,8385.T
百十四銀行,8386.T
四国銀行,8387.T
阿波銀行,8388.T
大分銀行,8392.T
宮崎銀行,8393.T
佐賀銀行,8395.T
琉球銀行,8399.T
セブン銀行,8410.T
みずほ FG,8411.T
山口 FG,8418.T
芙蓉総合リース,8424.T
みずほリース,8425.T
東京センチュリー,8439.T
SBI HD,8473.T
日本証券金融,8511.T
アイフル,8515.T
名古屋銀行,8522.T
北洋銀行,8524.T
愛知銀行,8527.T
中京銀行,8530.T
愛媛銀行,8541.T
京葉銀行,8544.T
栃木銀行,8550.T
北日本銀行,8551.T
東和銀行,8558.T
リコーリース,8566.T
イオンフィナンシャルサービス,8570.T
ジャックス,8584.T
オリエントコーポレーション,8585.T
オリックス,8591.T
三菱HCキャピタル,8593.T
ジャフコグループ,8595.T
トモニ HD,8600.T
大和証券G,8601.T
野村 HD,8604.T
岡三証券グループ,8609.T
丸三証券,8613.T
東洋証券,8614.T
東海東京フィナンシャルHD,8616.T
水戸証券,8622.T
いちよし証券,8624.T
松井証券,8628.T
SOMPO HD,8630.T
日本取引所グループ,8697.T
マネックスグループ,8698.T
極東証券,8706.T
岩井コスモ HD,8707.T
アイザワ証券グループ,8708.T
フィデア HD,8713.T
池田泉州 HD,8714.T
アニコム HD,8715.T
MS&ADインシュアランスグループ HD,8725.T
マネーパートナーズグループ,8732.T
スパークス・グループ,8739.T
第一生命 HD,8750.T
東京海上 HD,8766.T
アドバンテッジリスクマネジメント,8769.T
イー・ギャランティ,8771.T
NECキャピタルソリューション,8793.T
T&D HD,8795.T
アドバンスクリエイト,8798.T
三井不動産,8801.T
三菱地所,8802.T
平和不動産,8803.T
東京建物,8804.T
京阪神ビルディング,8818.T
住友不動産,8830.T
東京楽天地,8842.T
レオパレス21,8848.T
スターツコーポレーション,8850.T
フジ住宅,8860.T
空港施設,8864.T
明和地所,8869.T
ゴールドクレスト,8871.T
リログループ,8876.T
エスリード,8877.T
日神グループ HD,8881.T
日本エスコン,8892.T
MIRARTH HD,8897.T
AVANTIA,8904.T
イオンモール,8905.T
ファースト住建,8917.T
カチタス,8919.T
トーセイ,8923.T
サンフロンティア不動産,8934.T
FJネクスト HD,8935.T
インテリックス,8940.T
サンネクスタグループ,8945.T
グランディハウス,8999.T
東武鉄道,9001.T
相鉄 HD,9003.T
東急,9005.T
京浜急行電鉄,9006.T
小田急電鉄,9007.T
京王電鉄,9008.T
京成電鉄,9009.T
富士急行,9010.T
東日本旅客鉄道,9020.T
西日本旅客鉄道,9021.T
東海旅客鉄道,9022.T
西武 HD,9024.T
鴻池運輸,9025.T
西日本鉄道,9031.T
ハマキョウレックス,9037.T
サカイ引越センター,9039.T
近鉄グループ HD,9041.T
阪急阪神 HD,9042.T
南海電気鉄道,9044.T
京阪 HD,9045.T
神戸電鉄,9046.T
名古屋鉄道,9048.T
山陽電気鉄道,9052.T
アルプス物流,9055.T
トランコム,9058.T
ヤマト HD,9064.T
山九,9065.T
日新,9066.T
丸全昭和運輸,9068.T
センコーグループ HD,9069.T
トナミ HD,9070.T
ニッコン HD,9072.T
福山通運,9075.T
セイノー HD,9076.T
神奈川中央交通,9081.T
ロジスティード,9086.T
AZ-COM丸和 HD,9090.T
C&Fロジ HD,9099.T
日本郵船,9101.T
商船三井,9104.T
川崎汽船,9107.T
NSユナイテッド海運,9110.T
飯野海運,9119.T
九州旅客鉄道,9142.T
SG HD,9143.T
NIPPON EXPRESS HD,9147.T
ID&E HD,9161.T
日本航空,9201.T
ANA HD,9202.T
ビーウィズ,9216.T
TRE HD,9247.T
人・夢・技術グループ,9248.T
西本Wismettac HD,9260.T
シルバーライフ,9262.T
Genky DrugStores,9267.T
コーア商事 HD,9273.T
KPPグループ HD,9274.T
ブックオフグループ HD,9278.T
ギフト HD,9279.T
三菱倉庫,9301.T
三井倉庫 HD,9302.T
住友倉庫,9303.T
澁澤倉庫,9304.T
ヤマタネ,9305.T
日本トランスシティ,9310.T
中央倉庫,9319.T
安田倉庫,9324.T
ファイズ HD,9325.T
NISSO HD,9332.T
大栄環境,9336.T
日本管財 HD,9347.T
東洋埠頭,9351.T
上組,9364.T
近鉄エクスプレス,9375.T
エーアイテイー,9381.T
内外トランスライン,9384.T
ショーエイコーポレーション,9385.T
日本コンセプト,9386.T
TBS HD,9401.T
日本テレビ HD,9404.T
朝日放送グループ HD,9405.T
テレビ朝日 HD,9409.T
スカパーJSAT HD,9412.T
テレビ東京 HD,9413.T
ビジョン,9416.T
USEN-NEXT HOLDINGS,9418.T
ワイヤレスゲート,9419.T
コネクシオ,9422.T
日本通信,9424.T
日本電信電話,9432.T
KDDI,9433.T
ソフトバンク,9434.T
光通信,9435.T
エムティーアイ,9438.T
GMOインターネットグループ,9449.T
ファイバーゲート,9450.T
KADOKAWA,9468.T
学研 HD,9470.T
ゼンリン,9474.T
東京電力 HD,9501.T
中部電力,9502.T
関西電力,9503.T
中国電力,9504.T
北陸電力,9505.T
東北電力,9506.T
四国電力,9507.T
九州電力,9508.T
北海道電力,9509.T
沖縄電力,9511.T
電源開発,9513.T
エフオン,9514.T
イーレックス,9517.T
レノバ,9519.T
東京瓦斯,9531.T
大阪瓦斯,9532.T
東邦瓦斯,9533.T
北海道瓦斯,9534.T
広島ガス,9535.T
西部ガス HD,9536.T
静岡ガス,9543.T
メタウォーター,9551.T
M&A総研 HD,9552.T
アイネット,9600.T
松竹,9601.T
東宝,9602.T
エイチ・アイ・エス,9603.T
東映,9605.T
ラックランド,9612.T
NTTデータグループ,9613.T
共立メンテナンス,9616.T
イチネン HD,9619.T
建設技術研究所,9621.T
スペース,9622.T
アイン HD,9627.T
燦 HD,9628.T
ピー・シー・エー,9629.T
タナベコンサルティンググループ,9644.T
ビジネスブレイン太田昭和,9658.T
ナガワ,9663.T
東京都競馬,9672.T
カナモト,9678.T
DTS,9682.T
スクウェア・エニックスHD,9684.T
シーイーシー,9692.T
カプコン,9697.T
ニシオ HD,9699.T
アイ・エス・ビー,9702.T
日本空港ビルデング,9706.T
トランス・コスモス,9715.T
乃村工藝社,9716.T
ジャステック,9717.T
SCSK,9719.T
藤田観光,9722.T
日本管財,9728.T
トーカイ,9729.T
セコム,9735.T
NSW,9739.T
セントラル警備保障,9740.T
アイネス,9742.T
丹青社,9743.T
メイテックグループ HD,9744.T
TKC,9746.T
富士ソフト,9749.T
応用地質,9755.T
船井総研 HD,9757.T
NSD,9759.T
オオバ,9765.T
コナミグループ,9766.T
学究社,9769.T
ベネッセ HD,9783.T
イオンディライト,9787.T
ナック,9788.T
福井コンピュータ HD,9790.T
ダイセキ,9793.T
ステップ,9795.T
日鉄物産,9810.T
泉州電業,9824.T
トラスコ中山,9830.T
ヤマダ HD,9831.T
オートバックスセブン,9832.T
モリト,9837.T
アークランズ,9842.T
ニトリ HD,9843.T
グルメ杵屋,9850.T
吉野家 HD,9861.T
加藤産業,9869.T
イノテック,9880.T
イエローハット,9882.T
松屋フーズ HD,9887.T
JBCC HD,9889.T
JK HD,9896.T
サガミ HD,9900.T
日伝,9902.T
ミロク情報サービス,9928.T
杉本商事,9932.T
因幡電機産業,9934.T
王将フードサービス,9936.T
プレナス,9945.T
ミニストップ,9946.T
アークス,9948.T
バロー HD,9956.T
東テク,9960.T
ミスミG,9962.T
ベルク,9974.T
ファーストリテイリング,9983.T
ソフトバンクグループ,9984.T
スズケン,9987.T
サンドラッグ,9989.T
サックスバー HD,9990.T
ジェコス,9991.T
グローセル,9995.T
ベルーナ,9997.T
